,locus_tag,old_locus_tag,name,description,type,length
lcl|NC_002947.4_gene_2984,PP_RS14820,PP_2854,,hypothetical protein,CDS,753
lcl|NC_002947.4_gene_2985,PP_RS14825,PP_2855,,C39 family peptidase,CDS,681
lcl|NC_002947.4_gene_2986,PP_RS14830,PP_2856,,hypothetical protein,CDS,1452
lcl|NC_002947.4_gene_2987,PP_RS14835,PP_2857,,hypothetical protein,CDS,579
lcl|NC_002947.4_gene_2988,PP_RS14840,PP_2858,,hypothetical protein,CDS,438
lcl|NC_002947.4_gene_2989,PP_RS14845,PP_2859,,AAA family ATPase,CDS,570
lcl|NC_002947.4_gene_2990,PP_RS14850,PP_2860,pnuC,nicotinamide riboside transporter PnuC,CDS,567
lcl|NC_002947.4_gene_2991,PP_RS14855,PP_2861,mcpP,methyl-accepting chemotaxis protein McpP,CDS,1635
lcl|NC_002947.4_gene_2992,PP_RS14860,PP_2862,,undecaprenyl-diphosphate phosphatase,CDS,831
lcl|NC_002947.4_gene_2993,PP_RS14865,PP_2863,,DUF1294 domain-containing protein,CDS,414
lcl|NC_002947.4_gene_2994,PP_RS14870,PP_2864,,MmcQ/YjbR family DNA-binding protein,CDS,360
lcl|NC_002947.4_gene_2995,PP_RS14875,PP_2865,,LysR substrate-binding domain-containing protein,CDS,903
lcl|NC_002947.4_gene_2996,PP_RS14880,PP_2866,,FMN-dependent NADH-azoreductase,CDS,612
lcl|NC_002947.4_gene_2997,PP_RS14885,PP_2867,,NAD(P)/FAD-dependent oxidoreductase,CDS,1203
lcl|NC_002947.4_gene_2998,PP_RS14890,PP_2868,,helix-turn-helix domain-containing protein,CDS,600
lcl|NC_002947.4_gene_2999,PP_RS14895,PP_2869,,FAD-dependent oxidoreductase,CDS,1953
lcl|NC_002947.4_gene_3000,PP_RS14900,PP_2870,,ABC transporter substrate-binding protein,CDS,1044
lcl|NC_002947.4_gene_3001,PP_RS14905,PP_2871,,class II aldolase/adducin family protein,CDS,756
lcl|NC_002947.4_gene_3002,PP_RS14910,PP_2872,,EamA family transporter,CDS,885
lcl|NC_002947.4_gene_3003,PP_RS14915,PP_2873,,YbjQ family protein,CDS,321
lcl|NC_002947.4_gene_3004,PP_RS14920,PP_5540,,hypothetical protein,CDS,189
lcl|NC_002947.4_gene_3005,PP_RS14925,PP_2874,,hypothetical protein,CDS,312
lcl|NC_002947.4_gene_3006,PP_RS14930,PP_2875,,hypothetical protein,CDS,333
lcl|NC_002947.4_gene_3007,PP_RS14935,PP_2876,ampC,class C beta-lactamase,CDS,1143
lcl|NC_002947.4_gene_3008,PP_RS14940,PP_2877,,bile acid:sodium symporter family protein,CDS,1002
lcl|NC_002947.4_gene_3009,PP_RS14945,PP_2879,,DUF4157 domain-containing protein,CDS,594
lcl|NC_002947.4_gene_3010,PP_RS14950,PP_2880,,TetR/AcrR family transcriptional regulator,CDS,564
lcl|NC_002947.4_gene_3011,PP_RS14955,PP_2881,,SDR family oxidoreductase,CDS,732
lcl|NC_002947.4_gene_3012,PP_RS14960,PP_2882,,2-hydroxychromene-2-carboxylate isomerase,CDS,615
lcl|NC_002947.4_gene_3013,PP_RS14965,PP_2883,,hypothetical protein,CDS,300
lcl|NC_002947.4_gene_3014,PP_RS14970,PP_2884,,cupin domain-containing protein,CDS,546
lcl|NC_002947.4_gene_3015,PP_RS14975,PP_2885,,MFS transporter,CDS,1206
lcl|NC_002947.4_gene_3016,PP_RS14980,PP_2886,,cytochrome b,CDS,534
lcl|NC_002947.4_gene_3017,PP_RS14985,PP_2887,,catalase family peroxidase,CDS,1053
lcl|NC_002947.4_gene_3018,PP_RS14990,PP_2888,,sigma-70 family RNA polymerase sigma factor,CDS,522
lcl|NC_002947.4_gene_3019,PP_RS14995,PP_2889,,anti-sigma factor,CDS,753
lcl|NC_002947.4_gene_3020,PP_RS15000,PP_2890,xthA,exodeoxyribonuclease III,CDS,813
lcl|NC_002947.4_gene_3021,PP_RS15005,PP_2891,,N-acetyltransferase,CDS,651
lcl|NC_002947.4_gene_3022,PP_RS15010,PP_2892,,autotransporter assembly complex family protein,CDS,1743
lcl|NC_002947.4_gene_3023,PP_RS15015,PP_2893,,translocation/assembly module TamB domain-containing protein,CDS,3675
lcl|NC_002947.4_gene_3024,PP_RS15020,PP_2894,,DUF2589 domain-containing protein,CDS,555
lcl|NC_002947.4_gene_3025,PP_RS15025,PP_2895,,DUF2589 domain-containing protein,CDS,645
lcl|NC_002947.4_gene_3026,PP_RS15030,PP_2896,,Mor transcription activator family protein,CDS,381
lcl|NC_002947.4_gene_3027,PP_RS15035,PP_2898,,hypothetical protein,CDS,459
lcl|NC_002947.4_gene_3028,PP_RS15040,PP_2899,,hypothetical protein,CDS,189
lcl|NC_002947.4_gene_3029,PP_RS15045,PP_2900,,hypothetical protein,CDS,375
lcl|NC_002947.4_gene_3030,PP_RS15050,PP_2901,,acylase,CDS,2313
lcl|NC_002947.4_gene_3031,PP_RS15055,PP_2902,,"UDP-2,3-diacylglucosamine diphosphatase",CDS,723
lcl|NC_002947.4_gene_3032,PP_RS15060,PP_2903,,peptidylprolyl isomerase,CDS,501
lcl|NC_002947.4_gene_3033,PP_RS15065,PP_2904,,glutamine--tRNA ligase/YqeY domain fusion protein,CDS,1704
lcl|NC_002947.4_gene_3034,PP_RS15070,PP_2905,cysS,cysteine--tRNA ligase,CDS,1383
lcl|NC_002947.4_gene_3035,PP_RS15075,PP_2906,,HAMP domain-containing sensor histidine kinase,CDS,1392
lcl|NC_002947.4_gene_3036,PP_RS15080,PP_2907,,response regulator transcription factor,CDS,681
lcl|NC_002947.4_gene_3037,PP_RS15085,PP_2908,csiR,DNA-binding transcriptional regulator CsiR,CDS,696
lcl|NC_002947.4_gene_3038,PP_RS15090,PP_2909,glaH,glutarate dioxygenase GlaH,CDS,978
lcl|NC_002947.4_gene_3039,PP_RS15095,PP_2910,lhgO,L-2-hydroxyglutarate oxidase,CDS,1251
lcl|NC_002947.4_gene_3040,PP_RS15100,PP_2911,gabP,GABA permease,CDS,1392
lcl|NC_002947.4_gene_3041,PP_RS15105,PP_2912,,PA4780 family RIO1-like protein kinase,CDS,894
lcl|NC_002947.4_gene_3042,PP_RS15110,PP_2913,hemB,porphobilinogen synthase,CDS,975
lcl|NC_002947.4_gene_3043,PP_RS15115,PP_2914,proP,glycine betaine/L-proline transporter ProP,CDS,1503
lcl|NC_002947.4_gene_3044,PP_RS15120,PP_2915,,YoaK family protein,CDS,702
lcl|NC_002947.4_gene_3045,PP_RS15125,PP_2916,,riboflavin synthase,CDS,630
lcl|NC_002947.4_gene_3046,PP_RS15130,PP_2918,treS,maltose alpha-D-glucosyltransferase,CDS,2067
lcl|NC_002947.4_gene_3047,PP_RS15135,PP_2919,,LysR family transcriptional regulator,CDS,918
lcl|NC_002947.4_gene_3048,PP_RS15140,PP_2920,,5-oxoprolinase subunit PxpA,CDS,759
lcl|NC_002947.4_gene_3049,PP_RS15145,PP_2921,,allophanate hydrolase subunit 1,CDS,888
lcl|NC_002947.4_gene_3050,PP_RS15150,PP_2922,,biotin-dependent carboxyltransferase family protein,CDS,972
lcl|NC_002947.4_gene_3051,PP_RS15155,PP_2923,,TIGR03915 family putative DNA repair protein,CDS,858
lcl|NC_002947.4_gene_3052,PP_RS15160,PP_2924,,putative DNA modification/repair radical SAM protein,CDS,1221
lcl|NC_002947.4_gene_3053,PP_RS15165,PP_2925,mqo,malate dehydrogenase (quinone),CDS,1620
lcl|NC_002947.4_gene_3054,PP_RS15170,PP_2926,,UDP-glucose/GDP-mannose dehydrogenase family protein,CDS,1329
lcl|NC_002947.4_gene_3055,PP_RS15175,PP_2927,,class I SAM-dependent methyltransferase,CDS,1047
lcl|NC_002947.4_gene_3056,PP_RS15180,PP_2928,,saccharopine dehydrogenase family protein,CDS,1245
lcl|NC_002947.4_gene_3057,PP_RS15185,PP_2929,nspC,carboxynorspermidine decarboxylase,CDS,1098
lcl|NC_002947.4_gene_3058,PP_RS15190,PP_2930,,serine/threonine dehydratase family protein,CDS,918
lcl|NC_002947.4_gene_3059,PP_RS15195,PP_2931,,transcriptional regulator,CDS,675
lcl|NC_002947.4_gene_3060,PP_RS15200,PP_2932,,amidase,CDS,1704
lcl|NC_002947.4_gene_3061,PP_RS15205,PP_2933,yghU,glutathione-dependent disulfide-bond oxidoreductase,CDS,843
lcl|NC_002947.4_gene_3062,PP_RS15210,PP_2934,,dienelactone hydrolase,CDS,1047
lcl|NC_002947.4_gene_3063,PP_RS15215,PP_2935,,MFS transporter,CDS,1194
lcl|NC_002947.4_gene_3064,PP_RS15220,PP_2936,,ABC-F family ATPase,CDS,1587
lcl|NC_002947.4_gene_3065,PP_RS15225,PP_2937,,integrase,CDS,420
lcl|NC_002947.4_gene_3066,PP_RS15230,PP_2938,,OsmC family protein,CDS,474
lcl|NC_002947.4_gene_3067,PP_RS15235,PP_2939,,Txe/YoeB family addiction module toxin,CDS,309
lcl|NC_002947.4_gene_3068,PP_RS15240,PP_2940,,type II toxin-antitoxin system Phd/YefM family antitoxin,CDS,285
lcl|NC_002947.4_gene_3069,PP_RS15245,PP_5541,,hypothetical protein,CDS,330
lcl|NC_002947.4_gene_3070,PP_RS15250,PP_5542,,hypothetical protein,CDS,258
lcl|NC_002947.4_gene_3071,PP_RS15255,PP_2941,,SOS response-associated peptidase,CDS,666
lcl|NC_002947.4_gene_3072,PP_RS15260,PP_2942,,HD domain-containing phosphohydrolase,CDS,1371
lcl|NC_002947.4_gene_3073,PP_RS15265,PP_2943,,cytochrome-c peroxidase,CDS,999
lcl|NC_002947.4_gene_3074,PP_RS15270,PP_2944,,DAHL domain-containing protein,CDS,1815
lcl|NC_002947.4_gene_3075,PP_RS15275,PP_2945,,ATP-binding protein,CDS,1404
lcl|NC_002947.4_gene_3076,PP_RS15280,PP_2946,arfB,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,CDS,414
lcl|NC_002947.4_gene_3077,PP_RS15285,PP_2947,,"histone-like nucleoid-structuring protein, MvaT/MvaU family",CDS,366
lcl|NC_002947.4_gene_3078,PP_RS15290,PP_2948,,PLP-dependent aminotransferase family protein,CDS,1383
lcl|NC_002947.4_gene_3079,PP_RS15295,PP_2949,,DMT family transporter,CDS,867
lcl|NC_002947.4_gene_3080,PP_RS15300,PP_2950,,nuclear transport factor 2 family protein,CDS,477
lcl|NC_002947.4_gene_3081,PP_RS15305,PP_2951,,TetR/AcrR family transcriptional regulator,CDS,567
lcl|NC_002947.4_gene_3082,PP_RS15310,PP_2952,,LysR family transcriptional regulator,CDS,891
lcl|NC_002947.4_gene_3083,PP_RS15315,PP_2953,,zinc-binding alcohol dehydrogenase family protein,CDS,1008
lcl|NC_002947.4_gene_3084,PP_RS15320,PP_2954,,putative quinol monooxygenase,CDS,387
lcl|NC_002947.4_gene_3085,PP_RS28325,PP_5543,,hypothetical protein,CDS,144
lcl|NC_002947.4_gene_3086,PP_RS15325,PP_2955,,magnesium transporter CorA family protein,CDS,912
lcl|NC_002947.4_gene_3087,PP_RS15330,PP_2956,,RimK family alpha-L-glutamate ligase,CDS,1581
lcl|NC_002947.4_gene_3088,PP_RS15335,PP_2957,,GNAT family N-acetyltransferase/peptidase C39 family protein,CDS,1095
lcl|NC_002947.4_gene_3089,PP_RS15340,PP_2958,grxC,glutaredoxin 3,CDS,255
lcl|NC_002947.4_gene_3090,PP_RS15345,PP_2959,,carboxymuconolactone decarboxylase family protein,CDS,519
lcl|NC_002947.4_gene_3091,PP_RS15350,PP_2960,,AraC family transcriptional regulator,CDS,822
lcl|NC_002947.4_gene_3092,PP_RS15355,PP_2961,,LysR family transcriptional regulator,CDS,879
lcl|NC_002947.4_gene_3093,PP_RS15360,PP_2962,,zinc-dependent alcohol dehydrogenase family protein,CDS,1002
lcl|NC_002947.4_gene_3094,PP_RS15365,PP_2964,,Tn3 family transposase,CDS,3006
lcl|NC_002947.4_gene_3095,PP_RS15370,PP_2965,tnpC,Tn3 family transposase post-transcriptional regulator TnpC,CDS,363
lcl|NC_002947.4_gene_3096,PP_RS15375,,,YqaA family protein,CDS,411
lcl|NC_002947.4_gene_3097,PP_RS15380,PP_2968,mrdH,Ni(II)/Co(II) efflux transporter permease subunit MrdH,CDS,1134
lcl|NC_002947.4_gene_3098,PP_RS15385,PP_2969,mreA,metal-sensing transcriptional repressor MreA,CDS,288
lcl|NC_002947.4_gene_3099,PP_RS15390,PP_2970,,hypothetical protein,CDS,360
lcl|NC_002947.4_gene_3100,PP_RS15395,,,hypothetical protein,CDS,249
lcl|NC_002947.4_gene_3101,PP_RS15400,PP_2971,,IS5 family transposase,CDS,1038
lcl|NC_002947.4_gene_3102,PP_RS15405,PP_2973,,diacylglycerol kinase,CDS,387
lcl|NC_002947.4_gene_3103,PP_RS15410,PP_2974,,LTA synthase family protein,CDS,1650
lcl|NC_002947.4_gene_3104,PP_RS15415,PP_2975,,transposase,CDS,362
lcl|NC_002947.4_gene_3105,PP_RS15420,PP_2977,,,misc_feature,1214
lcl|NC_002947.4_gene_3106,PP_RS15425,PP_2978,,ATP-dependent zinc protease,CDS,547
lcl|NC_002947.4_gene_3107,PP_RS15430,PP_2979,,YkvA family protein,CDS,429
lcl|NC_002947.4_gene_3108,PP_RS15435,PP_2980,,hypothetical protein,CDS,237
lcl|NC_002947.4_gene_3109,PP_RS15440,PP_2981,,site-specific integrase,CDS,972
lcl|NC_002947.4_gene_3110,PP_RS15445,PP_2982,,DNA-binding protein,CDS,999
lcl|NC_002947.4_gene_3111,PP_RS15450,PP_2983,,DUF6036 family nucleotidyltransferase,CDS,645
lcl|NC_002947.4_gene_3112,PP_RS15455,PP_2984,,hypothetical protein,CDS,480
lcl|NC_002947.4_gene_3113,PP_RS28845,PP_5546,,DUF6088 family protein,CDS,306
lcl|NC_002947.4_gene_3114,PP_RS15460,PP_2985,,GrpB family protein,CDS,546
lcl|NC_002947.4_gene_3115,PP_RS28555,PP_5548,,histidine phosphatase family protein,CDS,132
lcl|NC_002947.4_gene_3116,PP_RS15465,PP_2986,,SDR family oxidoreductase,CDS,1050
lcl|NC_002947.4_gene_3117,PP_RS28560,,,LysR family transcriptional regulator,CDS,159
lcl|NC_002947.4_gene_3118,PP_RS15470,PP_2987,,helix-turn-helix domain-containing protein,CDS,444
lcl|NC_002947.4_gene_3119,PP_RS15475,PP_2988,,NADP-dependent oxidoreductase,CDS,999
lcl|NC_002947.4_gene_3120,PP_RS15480,PP_2989,,SDR family oxidoreductase,CDS,795
lcl|NC_002947.4_gene_3121,PP_RS15485,PP_2990,,MerR family transcriptional regulator,CDS,480
lcl|NC_002947.4_gene_3122,PP_RS15490,PP_2991,,hypothetical protein,CDS,927
lcl|NC_002947.4_gene_3123,PP_RS15495,PP_2992,,type 1 glutamine amidotransferase domain-containing protein,CDS,804
lcl|NC_002947.4_gene_3124,PP_RS15500,PP_2994,,NADH:flavin oxidoreductase/NADH oxidase family protein,CDS,1257
lcl|NC_002947.4_gene_3125,PP_RS15505,PP_2995,,AAA family ATPase,CDS,543
lcl|NC_002947.4_gene_3126,PP_RS15510,PP_2996,,hypothetical protein,CDS,459
lcl|NC_002947.4_gene_3127,PP_RS15515,PP_2997,,LysR family transcriptional regulator,CDS,900
lcl|NC_002947.4_gene_3128,PP_RS15520,PP_2998,,ketopantoate reductase family protein,CDS,948
lcl|NC_002947.4_gene_3129,PP_RS15525,PP_2999,,VOC family protein,CDS,399
lcl|NC_002947.4_gene_3130,PP_RS15530,PP_3000,,MaoC family dehydratase,CDS,456
lcl|NC_002947.4_gene_3131,PP_RS15535,PP_3001,,CaiB/BaiF CoA-transferase family protein,CDS,1233
lcl|NC_002947.4_gene_3132,PP_RS15540,PP_3002,aroE,shikimate dehydrogenase,CDS,819
lcl|NC_002947.4_gene_3133,PP_RS15545,PP_3003,aroQ,type II 3-dehydroquinate dehydratase,CDS,438
lcl|NC_002947.4_gene_3134,PP_RS15550,PP_3004,,hypothetical protein,CDS,258
lcl|NC_002947.4_gene_3135,PP_RS15555,PP_3005,,anti-sigma factor domain-containing protein,CDS,693
lcl|NC_002947.4_gene_3136,PP_RS15560,PP_3006,,sigma-70 family RNA polymerase sigma factor,CDS,549
lcl|NC_002947.4_gene_3137,PP_RS15565,PP_3007,,DUF3455 domain-containing protein,CDS,528
lcl|NC_002947.4_gene_3138,PP_RS15570,PP_3008,,hypothetical protein,CDS,288
lcl|NC_002947.4_gene_3139,PP_RS15575,PP_3010,,hypothetical protein,CDS,369
lcl|NC_002947.4_gene_3140,PP_RS15580,PP_3011,,hypothetical protein,CDS,309
lcl|NC_002947.4_gene_3141,PP_RS15585,PP_3013,,hypothetical protein,CDS,201
lcl|NC_002947.4_gene_3142,PP_RS15590,PP_3014,,hypothetical protein,CDS,360
lcl|NC_002947.4_gene_3143,PP_RS15595,PP_5549,,hypothetical protein,CDS,207
lcl|NC_002947.4_gene_3144,PP_RS15600,PP_3015,,hypothetical protein,CDS,162
lcl|NC_002947.4_gene_3145,PP_RS15605,PP_3016,,LPS biosynthesis protein,CDS,801
lcl|NC_002947.4_gene_3146,PP_RS15610,PP_3017,,methylated-DNA--[protein]-cysteine S-methyltransferase,CDS,501
lcl|NC_002947.4_gene_3147,PP_RS15615,PP_3018,,hypothetical protein,CDS,243
lcl|NC_002947.4_gene_3148,PP_RS15620,PP_3019,,carbon-nitrogen hydrolase family protein,CDS,744
lcl|NC_002947.4_gene_3149,PP_RS15625,PP_3020,,serine/threonine protein phosphatase,CDS,726
lcl|NC_002947.4_gene_3150,PP_RS15630,PP_3021,,LysE family translocator,CDS,615
lcl|NC_002947.4_gene_3151,PP_RS15635,PP_3022,,AraC family transcriptional regulator,CDS,810
lcl|NC_002947.4_gene_3152,PP_RS15640,PP_3023,,LysE family translocator,CDS,369
lcl|NC_002947.4_gene_3153,PP_RS15645,PP_3024,,hypothetical protein,CDS,1098
lcl|NC_002947.4_gene_3154,PP_RS15650,PP_5550,,STAS-like domain-containing protein,CDS,321
lcl|NC_002947.4_gene_3155,PP_RS15655,PP_5551,,hypothetical protein,CDS,525
lcl|NC_002947.4_gene_3156,PP_RS15660,PP_3025,,LysE family translocator,CDS,621
lcl|NC_002947.4_gene_3157,PP_RS15665,PP_3026,,recombinase family protein,CDS,1626
lcl|NC_002947.4_gene_3158,PP_RS28570,PP_3028,,hypothetical protein,CDS,315
lcl|NC_002947.4_gene_3159,PP_RS15675,PP_3029,,DNA cytosine methyltransferase,CDS,1830
lcl|NC_002947.4_gene_3160,PP_RS15680,PP_3030,,hypothetical protein,CDS,804
lcl|NC_002947.4_gene_3161,PP_RS15685,PP_3031,,pyocin activator PrtN family protein,CDS,318
lcl|NC_002947.4_gene_3162,PP_RS15690,PP_3032,,phage antirepressor KilAC domain-containing protein,CDS,285
lcl|NC_002947.4_gene_3163,PP_RS15695,PP_5552,,hypothetical protein,CDS,312
lcl|NC_002947.4_gene_3164,PP_RS15700,PP_3033,,LexA family transcriptional regulator,CDS,732
lcl|NC_002947.4_gene_3165,PP_RS15705,PP_3034,,hypothetical protein,CDS,264
lcl|NC_002947.4_gene_3166,PP_RS15710,PP_5555,,phage regulatory CII family protein,CDS,519
lcl|NC_002947.4_gene_3167,PP_RS15715,PP_3037,,TraR/DksA C4-type zinc finger protein,CDS,219
lcl|NC_002947.4_gene_3168,PP_RS15720,PP_3038,,VapE domain-containing protein,CDS,2211
lcl|NC_002947.4_gene_3169,PP_RS15725,PP_3039,,hypothetical protein,CDS,363
lcl|NC_002947.4_gene_3170,PP_RS15730,PP_3040,,phage holin family protein,CDS,348
lcl|NC_002947.4_gene_3171,PP_RS15735,PP_3041,,hypothetical protein,CDS,612
lcl|NC_002947.4_gene_3172,PP_RS15740,PP_3042,,phage terminase large subunit family protein,CDS,2037
lcl|NC_002947.4_gene_3173,PP_RS15745,PP_3043,,phage head-tail joining protein,CDS,207
lcl|NC_002947.4_gene_3174,PP_RS15750,PP_3044,,phage portal protein,CDS,1494
lcl|NC_002947.4_gene_3175,PP_RS15755,PP_3045,,"head maturation protease, ClpP-related",CDS,1164
lcl|NC_002947.4_gene_3176,PP_RS15760,PP_3046,,head decoration protein,CDS,348
lcl|NC_002947.4_gene_3177,PP_RS15765,PP_3047,,major capsid protein,CDS,996
lcl|NC_002947.4_gene_3178,PP_RS15770,PP_3048,,hypothetical protein,CDS,315
lcl|NC_002947.4_gene_3179,PP_RS15775,PP_3049,,hypothetical protein,CDS,663
lcl|NC_002947.4_gene_3180,PP_RS15780,PP_3050,,hypothetical protein,CDS,531
lcl|NC_002947.4_gene_3181,PP_RS15785,PP_3051,,phage baseplate assembly protein V,CDS,603
lcl|NC_002947.4_gene_3182,PP_RS15790,PP_3052,,hypothetical protein,CDS,270
lcl|NC_002947.4_gene_3183,PP_RS15795,PP_3053,,GPW/gp25 family protein,CDS,327
lcl|NC_002947.4_gene_3184,PP_RS15800,PP_3054,,baseplate J/gp47 family protein,CDS,981
lcl|NC_002947.4_gene_3185,PP_RS15805,PP_3055,,phage tail protein I,CDS,813
lcl|NC_002947.4_gene_3186,PP_RS15810,PP_3056,,phage tail protein,CDS,879
lcl|NC_002947.4_gene_3187,PP_RS15815,PP_3057,,hypothetical protein,CDS,741
lcl|NC_002947.4_gene_3188,PP_RS15820,PP_3058,,hypothetical protein,CDS,462
lcl|NC_002947.4_gene_3189,PP_RS15825,PP_3059,,phage tail sheath family protein,CDS,1167
lcl|NC_002947.4_gene_3190,PP_RS15830,PP_3060,,phage major tail tube protein,CDS,510
lcl|NC_002947.4_gene_3191,PP_RS15835,PP_3061,,phage tail assembly protein,CDS,297
lcl|NC_002947.4_gene_3192,PP_RS15840,PP_3062,,phage tail tape measure protein,CDS,3270
lcl|NC_002947.4_gene_3193,PP_RS15845,PP_3063,,phage tail protein,CDS,846
lcl|NC_002947.4_gene_3194,PP_RS15850,PP_3064,,tail protein X,CDS,207
lcl|NC_002947.4_gene_3195,PP_RS15855,PP_3065,,phage late control D family protein,CDS,1044
lcl|NC_002947.4_gene_3196,PP_RS15860,PP_3066,,glycoside hydrolase family 19 protein,CDS,552
lcl|NC_002947.4_gene_3197,PP_RS15865,PP_5556,,lysis system i-spanin subunit Rz,CDS,561
lcl|NC_002947.4_gene_3198,PP_RS15870,,,hypothetical protein,CDS,657
lcl|NC_002947.4_gene_3199,PP_RS15875,PP_3067,,PIN domain-containing protein,CDS,1206
lcl|NC_002947.4_gene_3200,PP_RS15880,PP_5558,,XRE family transcriptional regulator,CDS,360
lcl|NC_002947.4_gene_3201,PP_RS15885,PP_3068,,LysE family transporter,CDS,279
lcl|NC_002947.4_gene_3202,PP_RS15890,PP_3069,,autotransporter outer membrane beta-barrel domain-containing protein,CDS,2478
lcl|NC_002947.4_gene_3203,PP_RS15895,PP_3070,,peptidylprolyl isomerase,CDS,276
lcl|NC_002947.4_gene_3204,PP_RS15900,PP_3071,,acetoacetate--CoA ligase,CDS,1953
lcl|NC_002947.4_gene_3205,PP_RS15905,PP_3072,eco,serine protease inhibitor ecotin,CDS,480
lcl|NC_002947.4_gene_3206,PP_RS15910,PP_3073,hbdH,3-hydroxybutyrate dehydrogenase,CDS,771
lcl|NC_002947.4_gene_3207,PP_RS15915,PP_3074,,GntP family permease,CDS,1392
lcl|NC_002947.4_gene_3208,PP_RS15920,PP_3075,,sigma-54-dependent Fis family transcriptional regulator,CDS,1383
lcl|NC_002947.4_gene_3209,PP_RS15925,PP_3076,,ABC transporter permease,CDS,1017
lcl|NC_002947.4_gene_3210,PP_RS15930,PP_3077,,microcin C ABC transporter permease YejB,CDS,1059
lcl|NC_002947.4_gene_3211,PP_RS15935,PP_3078,,extracellular solute-binding protein,CDS,1929
lcl|NC_002947.4_gene_3212,PP_RS15940,PP_3079,,peptidylprolyl isomerase,CDS,282
lcl|NC_002947.4_gene_3213,PP_RS15945,PP_3080,,3-deoxy-7-phosphoheptulonate synthase,CDS,1062
lcl|NC_002947.4_gene_3214,PP_RS15950,PP_3081,,YbhB/YbcL family Raf kinase inhibitor-like protein,CDS,552
lcl|NC_002947.4_gene_3215,PP_RS15955,PP_5560,,hypothetical protein,CDS,309
lcl|NC_002947.4_gene_3216,PP_RS15960,PP_3082,,MFS transporter,CDS,1299
lcl|NC_002947.4_gene_3217,PP_RS15965,PP_3083,,AEC family transporter,CDS,876
lcl|NC_002947.4_gene_3218,PP_RS15970,PP_3084,,TonB-dependent receptor,CDS,2418
lcl|NC_002947.4_gene_3219,PP_RS15975,PP_3085,,FecR domain-containing protein,CDS,963
lcl|NC_002947.4_gene_3220,PP_RS15980,PP_3086,,sigma-70 family RNA polymerase sigma factor,CDS,507
lcl|NC_002947.4_gene_3221,PP_RS15985,PP_3087,,excinuclease ABC subunit UvrA,CDS,2517
lcl|NC_002947.4_gene_3222,PP_RS15990,PP_3088,tssA,type VI secretion system protein TssA,CDS,1086
lcl|NC_002947.4_gene_3223,PP_RS15995,PP_3089,,type VI secretion system tube protein Hcp,CDS,519
lcl|NC_002947.4_gene_3224,PP_RS16000,PP_3090,tssM,type VI secretion system membrane subunit TssM,CDS,2496
lcl|NC_002947.4_gene_3225,PP_RS16005,PP_5561,tagF,type VI secretion system-associated protein TagF,CDS,909
lcl|NC_002947.4_gene_3226,PP_RS16010,PP_3091,,type VI secretion protein IcmF/TssM N-terminal domain-containing protein,CDS,3804
lcl|NC_002947.4_gene_3227,PP_RS16015,PP_3092,icmH,type IVB secretion system protein IcmH/DotU,CDS,717
lcl|NC_002947.4_gene_3228,PP_RS16020,PP_3093,tssK,type VI secretion system baseplate subunit TssK,CDS,1344
lcl|NC_002947.4_gene_3229,PP_RS16025,PP_3094,tssJ,type VI secretion system lipoprotein TssJ,CDS,723
lcl|NC_002947.4_gene_3230,PP_RS16030,PP_3095,tssH,type VI secretion system ATPase TssH,CDS,2598
lcl|NC_002947.4_gene_3231,PP_RS16035,PP_3096,tssG,type VI secretion system baseplate subunit TssG,CDS,1071
lcl|NC_002947.4_gene_3232,PP_RS16040,PP_3097,tssF,type VI secretion system baseplate subunit TssF,CDS,1821
lcl|NC_002947.4_gene_3233,PP_RS16045,PP_3098,tssE,type VI secretion system baseplate subunit TssE,CDS,483
lcl|NC_002947.4_gene_3234,PP_RS16050,PP_3099,tssC,type VI secretion system contractile sheath large subunit,CDS,1503
lcl|NC_002947.4_gene_3235,PP_RS16055,PP_3100,tssB,type VI secretion system contractile sheath small subunit,CDS,540
lcl|NC_002947.4_gene_3236,PP_RS16060,PP_5562,,hypothetical protein,CDS,750
lcl|NC_002947.4_gene_3237,PP_RS16065,PP_5563,,hypothetical protein,CDS,552
lcl|NC_002947.4_gene_3238,PP_RS28575,,,ADP-ribosylglycohydrolase family protein,CDS,102
lcl|NC_002947.4_gene_3239,PP_RS16070,PP_3101,,ADP-ribosylglycohydrolase family protein,CDS,720
lcl|NC_002947.4_gene_3240,PP_RS16075,PP_5565,,hypothetical protein,CDS,263
lcl|NC_002947.4_gene_3241,PP_RS28580,,,hypothetical protein,CDS,138
lcl|NC_002947.4_gene_3242,PP_RS16085,PP_5567,,type VI secretion system tip protein VgrG,CDS,189
lcl|NC_002947.4_gene_3243,PP_RS16090,PP_5568,,hypothetical protein,CDS,699
lcl|NC_002947.4_gene_3244,PP_RS28585,,,polymorphic toxin type 46 domain-containing protein,CDS,198
lcl|NC_002947.4_gene_3245,PP_RS16105,PP_5571,,hypothetical protein,CDS,312
lcl|NC_002947.4_gene_3246,PP_RS16110,,,reverse transcriptase domain-containing protein,CDS,364
lcl|NC_002947.4_gene_3247,PP_RS28850,PP_5573,,hypothetical protein,CDS,177
lcl|NC_002947.4_gene_3248,PP_RS16120,PP_3102,,immunity protein Tsi6 family protein,CDS,297
