,locus_tag,name,description,type,length,subsystem
PP_2448,PP_RS12760,,FAD-binding oxidoreductase,CDS,1284.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_t42,PP_RS12765,,tRNA-Val,tRNA,77.0,Translation
PP_t43,PP_RS12770,,tRNA-Val,tRNA,77.0,Translation
PP_2449,PP_RS12775,,SPOR domain-containing protein,CDS,570.0,
PP_2450,PP_RS12780,,hypothetical protein,CDS,426.0,
PP_2451,PP_RS12785,,endonuclease,CDS,693.0,
PP_2452,PP_RS12790,,DUF1654 domain-containing protein,CDS,243.0,
PP_2453,PP_RS12795,,asparaginase,CDS,1089.0,Metabolic:S_Alanine_and_Aspartate_Metabolism
PP_2454,PP_RS12800,,sugar ABC transporter substrate-binding protein,CDS,960.0,Metabolic:S_Transport__ABC_system
PP_2455,PP_RS12805,,sugar ABC transporter ATP-binding protein,CDS,1554.0,Metabolic:S_Transport__ABC_system
PP_2456,PP_RS12810,,ABC transporter permease,CDS,996.0,Metabolic:S_Transport__ABC_system
PP_2457,PP_RS12815,,LacI family DNA-binding transcriptional regulator,CDS,1023.0,
PP_2458,PP_RS12820,rbsK,ribokinase,CDS,909.0,Metabolic:S_Alternate_Carbon__Ribose_Metabolism
PP_2459,PP_RS12825,rbsD,D-ribose pyranase,CDS,399.0,Metabolic:S_Transport__ABC_system
PP_2460,PP_RS12830,,nucleoside hydrolase,CDS,1002.0,Metabolic:S_Pyrimidine_Metabolism
PP_2461,PP_RS12835,,hypothetical protein,CDS,213.0,
PP_2462,PP_RS12840,,I78 family peptidase inhibitor,CDS,321.0,
PP_2463,PP_RS12845,,cold-shock protein,CDS,213.0,
PP_5525,PP_RS12850,,hypothetical protein,CDS,306.0,
PP_2465,PP_RS12855,thrS,threonine--tRNA ligase,CDS,1923.0,tRNA Charging
PP_2466,PP_RS12860,infC,translation initiation factor IF-3,CDS,552.0,
PP_2467,PP_RS12865,rpmI,50S ribosomal protein L35,CDS,195.0,
PP_2468,PP_RS12870,rplT,50S ribosomal protein L20,CDS,357.0,Translation
PP_2469,PP_RS12875,pheS,phenylalanine--tRNA ligase subunit alpha,CDS,1017.0,tRNA Charging
PP_2470,PP_RS12880,pheT,phenylalanine--tRNA ligase subunit beta,CDS,2382.0,tRNA Charging
PP_2471,PP_RS12885,ihfA,integration host factor subunit alpha,CDS,303.0,
PP_2472,PP_RS12890,,MerR family transcriptional regulator,CDS,357.0,
PP_t44,PP_RS12895,,tRNA-Pro,tRNA,77.0,Translation
PP_5526,PP_RS12900,,hypothetical protein,CDS,843.0,
PP_5527,PP_RS12905,,AlpA family transcriptional regulator,CDS,255.0,
PP_2473,PP_RS12910,,inovirus-type Gp2 protein,CDS,969.0,
PP_2474,PP_RS12915,,glutathione S-transferase family protein,CDS,621.0,
PP_2475,PP_RS12920,,TetR/AcrR family transcriptional regulator,CDS,594.0,
PP_2476,PP_RS12925,,NADP-dependent oxidoreductase,CDS,1035.0,Metabolic:S_Alternate_Carbon
PP_5528,PP_RS12930,,hypothetical protein,CDS,243.0,
PP_2477,PP_RS12935,,(2Fe-2S)-binding protein,CDS,462.0,
PP_2478,PP_RS12940,,molybdopterin cofactor-binding domain-containing protein,CDS,2193.0,
PP_2479,PP_RS12945,,cytochrome c,CDS,1221.0,
PP_2480,PP_RS12950,,XdhC family protein,CDS,1209.0,
PP_2481,PP_RS12955,,putative quinol monooxygenase,CDS,339.0,
PP_2482,PP_RS12960,,"GTP 3',8-cyclase MoaA",CDS,969.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis
PP_2483,PP_RS12965,,NTP transferase domain-containing protein,CDS,600.0,
PP_2484,PP_RS12970,,helix-turn-helix transcriptional regulator,CDS,306.0,
PP_2485,PP_RS12975,,LLM class oxidoreductase,CDS,984.0,
PP_2486,PP_RS12980,,alkene reductase,CDS,1125.0,Metabolic:S_Xenobiotic_tolerance
PP_2487,PP_RS12985,,aldehyde dehydrogenase family protein,CDS,1500.0,
PP_2488,PP_RS12990,,NAD-dependent succinate-semialdehyde dehydrogenase,CDS,1392.0,Metabolic:S_Glutamate_Metabolism
PP_2489,PP_RS12995,,NADH:flavin oxidoreductase/NADH oxidase,CDS,1101.0,Metabolic:S_Xenobiotic_tolerance
PP_2490,PP_RS13000,,NADPH-dependent oxidoreductase,CDS,825.0,Metabolic:S_Xenobiotic_tolerance
PP_5529,PP_RS13005,,DUF1330 domain-containing protein,CDS,303.0,
PP_2491,PP_RS13010,,type 1 glutamine amidotransferase domain-containing protein,CDS,678.0,
PP_2492,PP_RS13015,,iron-containing alcohol dehydrogenase,CDS,1158.0,Metabolic:S_Aromatic_Compounds_Degradation__Toluene_Pathway
PP_2493,PP_RS13020,,JAB domain-containing protein,CDS,549.0,
PP_2494,PP_RS13025,,hypothetical protein,CDS,951.0,
PP_2495,PP_RS13030,,YqaJ viral recombinase family protein,CDS,1005.0,
PP_2496,PP_RS13035,,DUF932 domain-containing protein,CDS,969.0,
PP_2497,PP_RS13040,,hypothetical protein,CDS,330.0,
PP_2498,PP_RS13045,,type II toxin-antitoxin system Phd/YefM family antitoxin,CDS,246.0,
PP_2499,PP_RS13050,,CopG family ribbon-helix-helix protein,CDS,273.0,
PP_2500,PP_RS13055,,type II toxin-antitoxin system RelE/ParE family toxin,CDS,294.0,
PP_2501,PP_RS13060,,site-specific integrase,CDS,1410.0,
PP_2502,PP_RS13065,,LysR family transcriptional regulator,CDS,927.0,
PP_2503,PP_RS13070,,SDR family NAD(P)-dependent oxidoreductase,CDS,732.0,
PP_2504,PP_RS13075,,4-oxalocrotonate tautomerase family protein,CDS,210.0,Metabolic:S_Aromatic_Compounds_Degradation__Toluene_Pathway
PP_5530,PP_RS28390,,hypothetical protein,CDS,213.0,
PP_5531,PP_RS13085,,DUF1993 family protein,CDS,519.0,
PP_2505,PP_RS13090,,sensor domain-containing diguanylate cyclase,CDS,1038.0,
PP_2506,PP_RS13095,,DUF2165 domain-containing protein,CDS,486.0,
PP_2507,PP_RS13100,,SDR family oxidoreductase,CDS,717.0,
PP_5532,PP_RS13105,,DUF3077 domain-containing protein,CDS,264.0,
PP_5533,PP_RS13110,,hypothetical protein,CDS,243.0,
PP_2510,PP_RS13120,,hypothetical protein,CDS,180.0,
PP_2511,PP_RS13125,,thiol-disulfide oxidoreductase DCC family protein,CDS,414.0,
PP_2512,PP_RS13130,folE,GTP cyclohydrolase I FolE,CDS,561.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis
PP_5535,PP_RS13135,,DUF3429 domain-containing protein,CDS,459.0,
PP_2513,PP_RS13140,,4-oxalomesaconate tautomerase,CDS,1086.0,Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism
PP_2514,PP_RS13145,,4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase,CDS,717.0,Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism
PP_2515,PP_RS13150,galB,4-oxalmesaconate hydratase,CDS,777.0,Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism
PP_2516,PP_RS13155,,LysR family transcriptional regulator,CDS,1194.0,
PP_2517,PP_RS13160,,OprD family porin,CDS,1233.0,Metabolic:S_Transport__Outer_Membrane
PP_2518,PP_RS13165,,gallate dioxygenase,CDS,1263.0,Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism
PP_2522,PP_RS13180,,IS4-like element ISPpu8 family transposase,CDS,1302.0,
PP_2524,PP_RS13190,,HD domain-containing protein,CDS,657.0,
PP_2525,PP_RS13195,,AAA family ATPase,CDS,1164.0,
PP_2526,PP_RS13200,,anti-virulence regulator CigR family protein,CDS,474.0,
PP_2527,PP_RS13205,,hypothetical protein,CDS,765.0,
PP_2528,PP_RS13210,,bifunctional O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase,CDS,1278.0,Metabolic:S_Methionine_Metabolism
PP_2531,PP_RS13215,,5'-nucleotidase,CDS,996.0,
PP_2532,PP_RS13220,,hypothetical protein,CDS,486.0,
PP_2533,PP_RS13225,,D-2-hydroxyacid dehydrogenase family protein,CDS,996.0,
PP_2534,PP_RS13230,,LysR substrate-binding domain-containing protein,CDS,900.0,
PP_2535,PP_RS13235,,MFS transporter,CDS,1176.0,
PP_2536,PP_RS13240,,glutathione S-transferase family protein,CDS,624.0,
PP_2537,PP_RS13245,,DUF3077 domain-containing protein,CDS,303.0,
PP_2538,PP_RS13250,,hypothetical protein,CDS,723.0,
PP_2539,PP_RS13255,,LysR family transcriptional regulator,CDS,927.0,
PP_2540,PP_RS13260,,SDR family oxidoreductase,CDS,777.0,
PP_2541,PP_RS13265,,WYL domain-containing protein,CDS,555.0,
PP_5536,PP_RS13270,,RHS repeat-associated core domain-containing protein,CDS,882.0,
PP_2542,PP_RS13275,,PLP-dependent aminotransferase family protein,CDS,1425.0,
PP_2543,PP_RS13280,,amino acid permease,CDS,1413.0,Metabolic:S_Transport__Inner_Membrane
PP_2544,PP_RS13285,,hypothetical protein,CDS,180.0,
PP_2545,PP_RS13290,tam,trans-aconitate 2-methyltransferase,CDS,777.0,Metabolic:S_Alternate_Carbon
PP_2546,PP_RS13295,,DUF2784 domain-containing protein,CDS,372.0,
PP_2547,PP_RS13300,,LysR substrate-binding domain-containing protein,CDS,870.0,
PP_2548,PP_RS13305,,MFS transporter,CDS,1248.0,
PP_2549,PP_RS13310,,FAD-dependent oxidoreductase,CDS,1392.0,
PP_2550,PP_RS13315,,YebC/PmpR family DNA-binding transcriptional regulator,CDS,714.0,
PP_2551,PP_RS13320,,LysR family transcriptional regulator,CDS,945.0,
PP_2552,PP_RS13325,,DOPA decarboxylase,CDS,1413.0,Metabolic:S_Plant_growth_promoting
PP_2553,PP_RS13330,,MFS transporter,CDS,1374.0,Metabolic:S_Transport__Inner_Membrane
PP_2554,PP_RS13335,quiC,3-dehydroshikimate dehydratase QuiC,CDS,1908.0,Metabolic:S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway
PP_2555,PP_RS13340,,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,CDS,669.0,
PP_2556,PP_RS13345,chrA,chromate efflux transporter,CDS,1353.0,Metabolic:S_Heavy_Metal_Tolerance
PP_2557,PP_RS13350,,sensor domain-containing diguanylate cyclase,CDS,864.0,
PP_2558,PP_RS13355,,TolC family outer membrane protein,CDS,1329.0,
PP_2559,PP_RS13360,,HlyD family type I secretion periplasmic adaptor subunit,CDS,1341.0,
PP_2560,PP_RS13365,,type I secretion system permease/ATPase,CDS,1737.0,
PP_2561,PP_RS13370,,peroxidase family protein,CDS,10827.0,
PP_2562,PP_RS13375,,isochorismatase family protein,CDS,486.0,
PP_2563,PP_RS13380,,amino acid adenylation domain-containing protein,CDS,2772.0,
PP_2564,PP_RS13385,,pirin family protein,CDS,699.0,
PP_2565,PP_RS13390,,UvrD-helicase domain-containing protein,CDS,2505.0,
PP_2566,PP_RS13395,,NEL-type E3 ubiquitin ligase domain-containing protein,CDS,4890.0,
PP_2567,PP_RS13400,,alpha/beta fold hydrolase,CDS,927.0,
PP_2568,PP_RS13405,,VOC family protein,CDS,420.0,
PP_2569,PP_RS13410,,MFS transporter,CDS,1677.0,
PP_2570,PP_RS13415,,IS110-like element ISPpu9 family transposase,CDS,1329.0,
PP_2572,PP_RS13420,,hypothetical protein,CDS,570.0,
PP_2573,PP_RS13425,,VOC family protein,CDS,387.0,
PP_2574,PP_RS13430,,LysR family transcriptional regulator,CDS,912.0,
PP_2575,PP_RS13435,,YMGG-like glycine zipper-containing protein,CDS,474.0,
PP_2577,PP_RS13450,,intermembrane transport protein PqiB,CDS,1641.0,
PP_2578,PP_RS13455,,membrane integrity-associated transporter subunit PqiC,CDS,531.0,
PP_2579,PP_RS13460,,phosphoethanolamine transferase CptA,CDS,1755.0,
PP_2580,PP_RS13465,,DUF2986 domain-containing protein,CDS,156.0,
PP_2582,PP_RS13475,,biliverdin-producing heme oxygenase,CDS,591.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2583,PP_RS13480,,GNAT family N-acetyltransferase,CDS,492.0,
PP_2584,PP_RS13485,,8-oxoguanine deaminase,CDS,1374.0,
PP_2585,PP_RS13490,,aldehyde dehydrogenase (NADP(+)),CDS,1581.0,
PP_2586,PP_RS13495,,APC family permease,CDS,1383.0,Metabolic:S_Transport__Inner_Membrane
PP_2587,PP_RS13500,,helix-turn-helix transcriptional regulator,CDS,843.0,
PP_2588,PP_RS13505,,aspartate aminotransferase family protein,CDS,1383.0,
PP_2589,PP_RS13510,,aldehyde dehydrogenase,CDS,1494.0,Metabolic:Unassigned
PP_2590,PP_RS13515,,TonB-dependent siderophore receptor,CDS,2238.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2591,PP_RS13520,,siderophore ABC transporter substrate-binding protein,CDS,990.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2592,PP_RS13525,,ABC transporter ATP-binding protein,CDS,777.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2593,PP_RS13530,,iron chelate uptake ABC transporter family permease subunit,CDS,942.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2594,PP_RS13535,,ABC transporter permease,CDS,942.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2595,PP_RS13540,,ABC transporter ATP-binding protein,CDS,1758.0,
PP_2596,PP_RS13545,,ABC transporter ATP-binding protein,CDS,1794.0,
PP_2597,PP_RS13550,,TetR/AcrR family transcriptional regulator,CDS,612.0,
PP_2599,PP_RS13555,,HD domain-containing phosphohydrolase,CDS,2713.0,
PP_2600,PP_RS13560,,FAD-dependent oxidoreductase,CDS,1713.0,
PP_2601,PP_RS13565,,IclR family transcriptional regulator,CDS,777.0,
PP_2602,PP_RS13570,,Gfo/Idh/MocA family protein,CDS,1053.0,
PP_2603,PP_RS13575,,sugar phosphate isomerase/epimerase,CDS,816.0,
PP_2604,PP_RS13580,,MFS transporter,CDS,1326.0,
PP_2605,PP_RS13585,,FAD-dependent oxidoreductase,CDS,1689.0,
PP_2606,PP_RS13590,,NIPSNAP family protein,CDS,321.0,
PP_2607,PP_RS13595,,FAD-dependent oxidoreductase,CDS,1734.0,
PP_2608,PP_RS13600,,shikimate dehydrogenase,CDS,810.0,
PP_2609,PP_RS13605,,IclR family transcriptional regulator,CDS,771.0,
PP_2610,PP_RS13610,,PAAR domain-containing protein,CDS,258.0,
PP_2611,PP_RS13615,,DUF6708 domain-containing protein,CDS,894.0,
PP_2612,PP_RS13620,,T6SS effector BTH_I2691 family protein,CDS,2991.0,
PP_2613,PP_RS13625,,DUF4123 domain-containing protein,CDS,924.0,
PP_2614,PP_RS13630,tssI,type VI secretion system Vgr family protein,CDS,2169.0,
PP_2615,PP_RS13635,,Hcp family type VI secretion system effector,CDS,516.0,
PP_2616,PP_RS13640,icmH,type IVB secretion system protein IcmH/DotU,CDS,870.0,
PP_2617,PP_RS13645,tssK,type VI secretion system baseplate subunit TssK,CDS,1338.0,
PP_2618,PP_RS13650,tssJ,type VI secretion system lipoprotein TssJ,CDS,798.0,
PP_2619,PP_RS13655,,FHA domain-containing protein,CDS,570.0,
PP_2620,PP_RS13660,tssG,type VI secretion system baseplate subunit TssG,CDS,1017.0,
PP_2621,PP_RS13665,tssF,type VI secretion system baseplate subunit TssF,CDS,1767.0,
PP_2622,PP_RS13670,tssE,type VI secretion system baseplate subunit TssE,CDS,411.0,
PP_2623,PP_RS13675,tssC,type VI secretion system contractile sheath large subunit,CDS,1491.0,
PP_2624,PP_RS13680,tssB,type VI secretion system contractile sheath small subunit,CDS,504.0,
PP_2625,PP_RS13685,vasI,type VI secretion system-associated protein VasI,CDS,651.0,
PP_2626,PP_RS13690,tssA,type VI secretion system protein TssA,CDS,1464.0,
PP_2627,PP_RS13695,tssM,type VI secretion system membrane subunit TssM,CDS,3621.0,
PP_2628,PP_RS13700,,ABC transporter ATP-binding protein,CDS,1854.0,
PP_2629,PP_RS13705,,BcsE family c-di-GMP-binding protein,CDS,1492.0,
PP_2631,PP_RS13710,bcsF,cellulose biosynthesis protein BcsF,CDS,186.0,
PP_2632,PP_RS13715,bcsG,cellulose biosynthesis protein BcsG,CDS,1614.0,
PP_2633,PP_RS13720,bcsR,cellulose biosynthesis protein BcsR,CDS,219.0,
PP_2634,PP_RS13725,bcsQ,cellulose biosynthesis protein BcsQ,CDS,708.0,
PP_2635,PP_RS13730,bcsA,UDP-forming cellulose synthase catalytic subunit,CDS,2610.0,Metabolic:S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism
PP_2636,PP_RS13735,bcsB,cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB,CDS,2286.0,Metabolic:S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism
PP_2637,PP_RS13740,bcsZ,cellulose synthase complex periplasmic endoglucanase BcsZ,CDS,1116.0,Metabolic:S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism
PP_2638,PP_RS13745,bcsC,cellulose synthase complex outer membrane protein BcsC,CDS,3519.0,Metabolic:S_Cell_Envelope_Biosynthesis__Cellulose_Metabolism
PP_2639,PP_RS13750,dapA,4-hydroxy-tetrahydrodipicolinate synthase,CDS,867.0,
PP_2640,PP_RS13755,,GNAT family N-acetyltransferase,CDS,459.0,
PP_2641,PP_RS13760,,NAD(P)H dependent flavin oxidoreductase family protein,CDS,1766.0,
PP_2642,PP_RS13765,,PLP-dependent aminotransferase family protein,CDS,1491.0,
PP_2643,PP_RS13770,,methyl-accepting chemotaxis protein,CDS,1626.0,
PP_2645,PP_RS13775,mgtA,magnesium-translocating P-type ATPase,CDS,2715.0,Metabolic:S_Transport__ABC_system
PP_2646,PP_RS13780,,DUF2493 domain-containing protein,CDS,378.0,
PP_2647,PP_RS13785,,MFS transporter,CDS,1227.0,Metabolic:S_Transport__solvent_extrusion
PP_2648,PP_RS13790,,universal stress protein,CDS,876.0,
PP_2649,PP_RS13795,,LysR family transcriptional regulator,CDS,942.0,
PP_2650,PP_RS13800,,iron-containing alcohol dehydrogenase,CDS,1143.0,
PP_2651,PP_RS13805,,MFS transporter,CDS,1344.0,
PP_2652,PP_RS13810,,2-keto-4-pentenoate hydratase,CDS,786.0,
PP_2653,PP_RS13815,,helix-turn-helix domain-containing protein,CDS,819.0,
PP_5537,PP_RS13820,,hypothetical protein,CDS,315.0,
PP_2654,PP_RS13825,,MAPEG family protein,CDS,426.0,
PP_2655,PP_RS13830,,hypothetical protein,CDS,234.0,
PP_2656,PP_RS13835,pstS,phosphate ABC transporter substrate-binding protein PstS,CDS,1032.0,Metabolic:S_Transport__ABC_system
PP_2657,PP_RS13840,pstC,phosphate ABC transporter permease subunit PstC,CDS,969.0,Metabolic:S_Transport__ABC_system
PP_2658,PP_RS13845,pstA,phosphate ABC transporter permease PstA,CDS,894.0,Metabolic:S_Transport__ABC_system
PP_2659,PP_RS13850,pstB,phosphate ABC transporter ATP-binding protein PstB,CDS,786.0,Metabolic:S_Transport__ABC_system
PP_2660,PP_RS13855,,hypothetical protein,CDS,699.0,
PP_2661,PP_RS13860,,hypothetical protein,CDS,600.0,
PP_2662,PP_RS13865,,porin,CDS,1188.0,
PP_2663,PP_RS13870,nosP,nitric oxide-sensing protein NosP,CDS,1164.0,
PP_2664,PP_RS13875,,NahK/ErcS family hybrid sensor histidine kinase/response regulator,CDS,1899.0,
PP_2665,PP_RS13880,,response regulator transcription factor,CDS,666.0,
PP_2666,PP_RS13885,,PQQ-dependent catabolism-associated CXXCW motif protein,CDS,561.0,
PP_2667,PP_RS13890,,ABC transporter permease,CDS,792.0,Metabolic:S_Transport__solvent_extrusion
PP_2668,PP_RS13895,,ABC transporter ATP-binding protein,CDS,741.0,Metabolic:S_Transport__solvent_extrusion
PP_2669,PP_RS13900,,YVTN family beta-propeller repeat protein,CDS,990.0,Metabolic:S_Transport__solvent_extrusion
PP_5538,PP_RS13905,,ABC transporter substrate-binding protein,CDS,1194.0,
PP_2671,PP_RS13910,,histidine kinase,CDS,1275.0,
PP_2672,PP_RS13915,,response regulator,CDS,639.0,
PP_2673,PP_RS13920,,pentapeptide repeat-containing protein,CDS,660.0,Metabolic:S_Transport__ABC_system
PP_2674,PP_RS13925,exaA,quinoprotein ethanol dehydrogenase,CDS,1896.0,Metabolic: No subsystem
PP_2675,PP_RS13930,pedF,cytochrome c-550 PedF,CDS,462.0,Metabolic:S_Aromatic_Compounds_Degradation__Phenylacetyl_CoA_Catabolom
PP_2676,PP_RS13935,,ABC transporter substrate-binding protein,CDS,876.0,Metabolic:S_Transport__ABC_system
PP_2677,PP_RS13940,,quinoprotein dehydrogenase-associated SoxYZ-like carrier,CDS,762.0,
PP_2678,PP_RS13945,,quinoprotein relay system zinc metallohydrolase 1,CDS,924.0,
PP_2679,PP_RS13950,pedH,PQQ-dependent alcohol dehydrogenase PedH,CDS,1788.0,Metabolic: No subsystem
PP_2680,PP_RS13955,,aldehyde dehydrogenase family protein,CDS,1521.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis
PP_2681,PP_RS13965,pqqD,pyrroloquinoline quinone biosynthesis peptide chaperone PqqD,CDS,273.0,
PP_2682,PP_RS13970,ercA,alcohol dehydrogenase-like regulatory protein ErcA,CDS,1164.0,
PP_2683,PP_RS13975,,NahK/ErcS family hybrid sensor histidine kinase/response regulator,CDS,1671.0,
PP_2684,PP_RS13980,,hypothetical protein,CDS,615.0,
PP_2685,PP_RS13985,,proteasome-type protease,CDS,723.0,
PP_2686,PP_RS13990,,transglutaminase family protein,CDS,780.0,
PP_2687,PP_RS13995,,alpha-E domain-containing protein,CDS,951.0,
PP_2688,PP_RS14000,,circularly permuted type 2 ATP-grasp protein,CDS,1410.0,
PP_2689,PP_RS14005,,RidA family protein,CDS,372.0,
PP_2690,PP_RS14010,,DUF3726 domain-containing protein,CDS,696.0,
PP_2691,PP_RS14015,,hypothetical protein,CDS,1695.0,
PP_2692,PP_RS14020,,BCCT family transporter,CDS,1551.0,
PP_2693,PP_RS14025,,dipeptidase,CDS,987.0,
PP_2694,PP_RS14030,,aldehyde dehydrogenase family protein,CDS,1443.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_2695,PP_RS14035,,LysR family transcriptional regulator,CDS,888.0,
PP_2696,PP_RS14040,,LysR family transcriptional regulator,CDS,930.0,
PP_2697,PP_RS14045,,flavin reductase family protein,CDS,510.0,
PP_2698,PP_RS14050,,methionine synthase,CDS,1035.0,Metabolic:S_Methionine_Metabolism
PP_2699,PP_RS14055,,DUF1852 domain-containing protein,CDS,984.0,
PP_2700,PP_RS14060,,peroxiredoxin,CDS,501.0,
PP_2701,PP_RS14065,,LysR family transcriptional regulator,CDS,939.0,
PP_2702,PP_RS14070,,porin,CDS,1131.0,
PP_2703,PP_RS14075,,MFS transporter,CDS,1302.0,Metabolic:S_Transport__Inner_Membrane
PP_2704,PP_RS14080,,M20 aminoacylase family protein,CDS,1185.0,
PP_2705,PP_RS14085,,hypothetical protein,CDS,258.0,
PP_2706,PP_RS14090,,hypothetical protein,CDS,243.0,
PP_2707,PP_RS14095,xth,exodeoxyribonuclease III,CDS,798.0,
PP_2708,PP_RS14100,,thermostable hemolysin,CDS,681.0,
PP_2709,PP_RS14105,,AMP-binding protein,CDS,1470.0,
PP_2710,PP_RS14110,,TenA family transcriptional regulator,CDS,681.0,
PP_2711,PP_RS14115,,SDR family oxidoreductase,CDS,807.0,
PP_2712,PP_RS14120,,hypothetical protein,CDS,642.0,
PP_2713,PP_RS14125,,response regulator,CDS,663.0,
PP_2714,PP_RS14130,,HAMP domain-containing sensor histidine kinase,CDS,1365.0,
PP_2715,PP_RS14135,arsH,arsenical resistance protein ArsH,CDS,702.0,
PP_2716,PP_RS14140,,arsenate reductase ArsC,CDS,471.0,Metabolic:S_Heavy_Metal_Tolerance
PP_2717,PP_RS14145,arsB,arsenical efflux pump membrane protein ArsB,CDS,1284.0,Metabolic:S_Heavy_Metal_Tolerance
PP_2718,PP_RS14150,,metalloregulator ArsR/SmtB family transcription factor,CDS,348.0,
PP_2721,PP_RS14160,,hypothetical protein,CDS,225.0,
PP_2722,PP_RS14165,,hemerythrin domain-containing protein,CDS,465.0,
PP_2723,PP_RS14170,,glucose 1-dehydrogenase,CDS,858.0,
PP_2724,PP_RS14175,,hypothetical protein,CDS,525.0,
PP_2725,PP_RS14180,,type 1 glutamine amidotransferase domain-containing protein,CDS,540.0,
PP_2726,PP_RS14185,,DUF421 domain-containing protein,CDS,693.0,
PP_2727,PP_RS14190,,SDR family NAD(P)-dependent oxidoreductase,CDS,771.0,
PP_2728,PP_RS14195,,DUF1543 domain-containing protein,CDS,492.0,
PP_2729,PP_RS14200,,chalcone isomerase family protein,CDS,537.0,
PP_2730,PP_RS14205,,DUF3833 domain-containing protein,CDS,537.0,
PP_2731,PP_RS14210,,DUF6482 family protein,CDS,306.0,
PP_2732,PP_RS14215,,cryptochrome/photolyase family protein,CDS,1527.0,
PP_2733,PP_RS14225,,DUF2878 domain-containing protein,CDS,489.0,
PP_2734,PP_RS14230,,cyclopropane-fatty-acyl-phospholipid synthase family protein,CDS,1263.0,Metabolic:S_Fatty_Acid__Biosynthesis
PP_2735,PP_RS14235,,DUF1365 domain-containing protein,CDS,810.0,
PP_2736,PP_RS14240,,NAD(P)/FAD-dependent oxidoreductase,CDS,1248.0,
PP_2737,PP_RS14245,,SDR family oxidoreductase,CDS,753.0,
PP_2738,PP_RS14250,,nuclear transport factor 2 family protein,CDS,423.0,
PP_2739,PP_RS14255,,PAS domain S-box protein,CDS,447.0,
PP_2740,PP_RS14260,,MerR family transcriptional regulator,CDS,888.0,
PP_2741,PP_RS14265,,mechanosensitive ion channel family protein,CDS,1638.0,
PP_2742,PP_RS14270,,cupin domain-containing protein,CDS,360.0,
PP_2743,PP_RS14275,,GNAT family N-acetyltransferase,CDS,609.0,
PP_2744,PP_RS14280,prs,ribose-phosphate pyrophosphokinase,CDS,960.0,
PP_2745,PP_RS14285,,universal stress protein,CDS,990.0,
PP_2746,PP_RS14290,,LLM class flavin-dependent oxidoreductase,CDS,1410.0,
PP_2747,PP_RS14295,,AMP-binding protein,CDS,972.0,
PP_2748,PP_RS14300,,ABC transporter ATP-binding protein,CDS,771.0,
PP_2749,PP_RS14305,,branched-chain amino acid ABC transporter permease,CDS,882.0,
PP_2750,PP_RS14310,,branched-chain amino acid ABC transporter permease,CDS,1065.0,
PP_2751,PP_RS14315,,ABC transporter substrate-binding protein,CDS,1341.0,
PP_2752,PP_RS14320,,ABC transporter substrate-binding protein,CDS,1335.0,
PP_2753,PP_RS14325,,ABC transporter ATP-binding protein,CDS,774.0,
PP_2754,PP_RS14330,,OprD family porin,CDS,1350.0,
PP_2755,PP_RS14335,,SfnB family sulfur acquisition oxidoreductase,CDS,1233.0,
PP_2756,PP_RS14340,,hypothetical protein,CDS,387.0,
PP_2757,PP_RS14345,,sugar ABC transporter substrate-binding protein,CDS,972.0,
PP_2758,PP_RS14350,,sugar ABC transporter substrate-binding protein,CDS,1029.0,
PP_2759,PP_RS14355,,sugar ABC transporter ATP-binding protein,CDS,1539.0,
PP_2760,PP_RS14360,,ABC transporter permease,CDS,978.0,
PP_2761,PP_RS14365,,ABC transporter permease,CDS,987.0,
PP_2762,PP_RS14370,,acyl-CoA dehydrogenase family protein,CDS,1239.0,
PP_2764,PP_RS14375,msuE,FMN reductase,CDS,561.0,Metabolic:S_Iron_uptake_and_metabolism
PP_2765,PP_RS14380,sfnG,dimethylsulfone monooxygenase SfnG,CDS,1092.0,Metabolic:S_Sulfur_Metabolism
